OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
143.0,-33.3
135.9,-39.7
144.3,-31.3
157.2,-18.4
143.7,-31.0
142.8,-31.3
146.0,-27.5
149.0,-23.0
146.2,-23.1
140.9,-27.8
140.3,-27.4
138.8,-28.0
152.5,-8.5
152.0,-3.6
140.3,-16.9
146.7,-0.9
142.2,-8.2
141.3,-6.9
0.0,0.0
138.8,-5.6
137.2,-5.6
133.6,-2.4
136.7,-37.2
142.3,-30.5
156.6,-18.2
151.7,-25.0
138.2,-38.8
144.1,-33.0
148.4,-28.3
159.4,-17.2
166.2,-9.4
133.3,-40.9
0.0,0.0
137.7,-35.6
150.1,-21.6
148.0,-22.9
137.6,-32.9
145.2,-22.8
139.3,-27.1
0.0,0.0
142.0,-21.2
137.8,-23.5
134.9,-25.8
132.4,-27.6
142.8,-9.4
132.8,-23.7
131.9,-23.2
131.0,-22.7
140.7,1.7
129.5,-20.7
130.6,-16.2
0.0,0.0
136.2,-38.7
137.4,-37.7
137.7,-37.9
139.9,-35.8
151.8,-22.8
164.3,-5.9
137.4,-39.6
153.6,-23.0
141.3,-35.7
145.2,-31.8
138.5,-38.3
140.9,-35.8
145.1,-31.4
159.6,-17.2
178.9,2.5
142.8,-32.5
154.5,-20.8
134.4,-39.7
151.8,-22.1
161.3,-11.5
148.6,-23.9
131.6,-39.5
148.7,-20.8
139.0,-29.3
136.8,-30.8
138.9,-27.3
140.1,-24.6
134.9,-28.4
132.2,-30.3
149.3,-0.3
124.8,-35.6
128.0,-30.1
128.3,-28.1
132.1,-20.4
132.9,-16.5
134.8,-9.8
121.1,-31.6
129.3,-15.3
131.8,-21.6
129.8,-32.6
134.0,-23.3
135.6,-22.4
137.3,-21.0
141.0,-16.9
143.6,-10.0
142.0,-21.8
145.1,-16.6
148.4,-4.1
150.4,-12.5
145.7,-25.1
154.0,-9.2
140.3,-34.5
155.6,-12.6
155.2,-17.4
141.1,-35.2
140.5,-36.1
140.2,-36.7
148.6,-28.3
137.8,-39.1
141.6,-35.4
145.9,-31.1
148.5,-28.4
138.9,-37.5
151.9,29.7
142.5,-33.2
135.8,-39.1
137.3,-37.3
126.2,-47.3
139.9,-33.7
135.5,-37.4
157.0,-14.8
136.7,-35.0
132.2,-38.7
149.2,-17.3
138.9,-27.0
147.4,-14.8
128.4,-36.8
118.4,-46.8
135.2,-26.2
129.1,-32.5
135.4,-22.6
131.7,-26.2
112.5,-49.0
136.9,-13.7
135.2,-14.2
121.5,-33.8
132.5,-13.9
127.7,-20.3
134.1,-2.1
122.7,-24.4
127.2,-8.8
117.2,-27.2
111.4,-35.3
118.9,-10.4
108.2,-29.6
112.2,-7.3
0.0,0.0
28.1,-2.4
56.9,-2.5
58.5,-2.5
60.1,-2.5
61.7,-2.5
63.3,-2.5
64.9,-2.5
0.0,0.0
127.4,-40.6
139.1,-20.4
140.7,-19.4
136.8,-31.2
132.6,-39.4
129.0,-45.6
142.9,-27.0
145.8,-25.2
129.2,-47.2
122.0,-54.8
125.9,-50.9
156.3,-16.0
145.1,-30.9
167.4,-2.7
143.7,-33.3
145.9,-31.2
144.4,-32.6
151.8,-25.4
143.4,-33.4
151.8,-25.1
140.2,-33.8
125.4,-46.9
134.1,-38.0
153.9,-15.6
140.1,-29.6
145.1,-23.2
131.7,-36.7
128.4,-38.4
140.8,-23.0
127.0,-38.0
137.4,-24.4
137.2,-23.1
122.0,-40.6
136.8,-18.2
128.0,-29.2
126.1,-28.5
137.4,-5.4
134.7,-8.2
133.3,-7.9
0.0,0.0
129.8,-4.6
128.4,-4.3
115.4,-29.8
122.7,-11.5
105.1,-43.6
105.5,-41.2
106.4,-32.7
115.4,0.2
105.8,-16.9
48.5,-3.0
102.8,-14.1
0.0,0.0
119.3,-40.8
117.8,-48.0
114.9,-55.9
0.0,0.0
0.0,0.0
120.0,-51.6
121.0,-51.0
125.6,-44.4
134.7,-27.1
135.5,-28.1
129.9,-40.7
125.1,-48.7
129.1,-43.8
144.8,-22.1
0.0,0.0
146.8,-24.0
141.1,-33.1
153.2,-16.5
149.5,-23.7
142.6,-33.4
136.0,-40.8
142.7,-34.0
129.7,-47.1
125.1,-51.4
139.2,-37.8
126.7,-49.7
113.4,-61.4
127.7,-48.4
126.4,-49.3
124.7,-50.6
139.6,-36.4
152.1,-24.2
142.6,-32.4
142.9,-31.7
123.7,-49.3
127.2,-45.5
147.5,-25.1
122.1,-49.3
132.7,-38.5
131.6,-38.9
120.9,-48.8
152.1,-14.6
139.6,-27.9
139.1,-27.3
139.5,-25.7
130.9,-34.4
140.1,-22.1
142.0,-17.8
133.0,-28.3
122.1,-40.2
137.8,-18.2
122.5,-37.4
118.3,-41.4
126.6,-29.1
121.5,-33.0
119.1,-34.8
99.9,-56.1
113.2,-35.1
0.0,0.0
0.0,0.0
116.3,-15.5
115.0,-15.1
116.3,-7.0
93.5,-55.2
107.4,-23.4
7.6,-4.8
107.3,-51.8
126.3,-45.7
0.0,0.0
132.8,-37.5
0.0,0.0
134.7,-40.0
125.7,-50.7
147.8,-24.2
137.5,-38.2
137.9,-38.1
130.7,-46.0
130.3,-46.6
138.5,-38.2
126.6,-50.1
127.0,-49.7
138.6,-38.4
137.1,-39.8
131.4,-45.2
141.6,-35.3
135.6,-40.9
0.0,0.0
131.4,-44.3
142.7,-33.4
141.2,-34.5
146.1,-29.4
123.9,-49.9
137.4,-36.8
140.1,-33.6
139.1,-34.0
139.8,-32.6
132.7,-38.4
139.5,-30.6
137.9,-31.4
127.3,-41.6
131.8,-36.1
132.8,-34.1
130.0,-36.2
136.9,-27.2
130.6,-33.3
121.0,-43.1
141.0,-16.9
127.4,-33.6
139.5,-15.0
133.0,-22.9
129.7,-24.1
131.3,-19.4
132.3,-15.2
126.8,-22.5
123.6,-25.6
0.0,0.0
127.9,-12.0
120.8,-21.0
117.7,-24.4
120.6,-11.5
111.4,-29.0
113.3,-21.9
99.2,-41.5
103.9,-20.7
103.3,-17.9
0.0,0.0
91.5,-41.1
94.4,-28.4
96.4,-16.5
94.1,-19.4
63.5,-22.0
62.3,-14.2
0.0,0.0
0.0,0.0
100.4,-42.6
98.2,-19.4
100.0,-21.3
104.6,-36.8
105.8,-53.4
107.0,-39.5
0.0,0.0
0.0,0.0
